Image_Point,Vertical_Mean,Vertical_Std,Horizontal_Mean,Horizontal_Std,"High 
Voltage
[kV]","Speed
[mm/
min]","Extrusion
Total
[mm]","Divisor
[mm/
mm]","Humid.
[%]","Room
T_R
[°C]"
ML-FA39_07, 0.6570247933884297, 0.1031745723180688, 0.8972027972027973, 0.0803824785195831, -3.5, 800, 0.053125, 1000.0, 42, 28.6
ML-FA45_07, 0.7564738292011018, 0.1062593394079214, 0.8584022038567494, 0.1204597234300619, -3.5, 700, 0.053125, 1000.0, 45, 27.0
ML-FA38_09, 0.737465564738292, 0.1727672503505129, 0.7013774104683197, 0.189144689482245, -5.8, 800, 0.315625, 175.0, 44, 28.3
ML-FA22_02, 0.624935064935065, 0.0995466193881407, 0.6224747474747475, 0.1360853407886143, -5.0, 550, 0.071875, 200.0, 38, 25.6
ML-FA31_02, 0.7833333333333332, 0.0711992251379096, 0.8608585858585858, 0.1301940954872567, -5.0, 800, 0.059375, 900.0, 44, 26.9
ML-FA22_03, 0.7384415584415585, 0.089945167982388, 0.7145454545454546, 0.096776864545283, -5.0, 550, 0.071875, 200.0, 38, 25.6
ML-FA37_01, 0.9927272727272728, 0.0682311509838495, 0.9348484848484848, 0.1319052307491628, -5.8, 800, 0.553125, 100.0, 46, 28.4
ML-FA28_03, 0.6449350649350649, 0.1051213468064106, 0.7646464646464647, 0.1801409734889822, -4.5, 800, 0.05625, 600.0, 48, 25.6
ML-FA42_01, 0.6378787878787879, 0.079527414981883, 0.8070454545454545, 0.2506478176892763, -5.0, 800, 0.053125, 1000.0, 40, 29.1
ML-FA39_08, 0.877020202020202, 0.1288945389186236, 0.6952020202020203, 0.1118646965565098, -3.5, 800, 0.053125, 1000.0, 42, 28.6
ML-FA38_03, 0.824331550802139, 0.2430134165102073, 0.95970515970516, 0.3848164746854925, -5.8, 800, 0.315625, 175.0, 44, 28.3
ML-FA29_08, 0.877020202020202, 0.1288945389186236, 0.6952020202020203, 0.1118646965565098, -4.5, 800, 0.078125, 700.0, 46, 26.6
ML-FA22_01, 0.651948051948052, 0.1170388572811548, 0.6699494949494951, 0.0852754259777466, -5.0, 550, 0.071875, 200.0, 38, 25.6
ML-FA44_02, 1.066753246753247, 0.0473098184728414, 1.245187165775401, 0.1688487325328982, -3.5, 600, 0.053125, 1000.0, 46, 26.9
ML-FA31_01, 1.094191919191919, 0.0662920874084847, 1.070707070707071, 0.1432296875425317, -5.0, 800, 0.059375, 900.0, 44, 26.9
ML-FA23_02, 0.5005194805194805, 0.0710502377146277, 0.5141414141414142, 0.0991109340447343, -5.0, 550, 0.16875, 200.0, 45, 25.0
ML-FA39_01, 0.877020202020202, 0.1288945389186236, 0.6952020202020203, 0.1118646965565098, -3.5, 800, 0.053125, 1000.0, 42, 28.6
ML-FA23_03, 0.6187012987012986, 0.1013938946659367, 0.6155844155844157, 0.0869412381062876, -5.0, 550, 0.16875, 200.0, 45, 25.0
ML-FA29_03, 0.7220779220779222, 0.1011920850857117, 0.7664141414141414, 0.0990964562538809, -4.5, 800, 0.078125, 700.0, 46, 26.6
ML-FA45_03, 1.028311688311688, 0.1102700651400042, 1.2788770053475935, 0.1990097090807064, -3.5, 700, 0.053125, 1000.0, 45, 27.0
ML-FA43_01, 0.7249350649350651, 0.0918224984749185, 0.7787878787878788, 0.128939304917535, -3.6, 500, 0.053125, 1000.0, 49, 26.4
